time,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
10000.00000000,34.60625740,35.53259268,35.64717232,36.59372048,34.76936344,34.36534291,34.68835511,34.22824839,35.39685536,35.02651258,34.15696564,34.61599600,34.32929091
10031.00000000,34.61529454,35.55302040,35.66770131,36.62167504,34.74354142,34.34765315,34.65651379,34.19574104,35.38574365,34.97203290,34.14771413,34.58445446,34.27199460
10060.00000000,34.66790703,35.64628364,35.76344838,36.73511537,34.79880705,34.38909984,34.70581617,34.23141248,35.45503438,35.02177876,34.18732011,34.63488908,34.31548747
10091.00000000,34.74143209,35.78528309,35.90787713,36.91071139,34.90096834,34.46031423,34.80437271,34.29544509,35.58344855,35.13601110,34.25132476,34.73606170,34.40379408
10121.00000000,34.80014997,35.90931214,36.03847904,37.08020452,34.99045595,34.51754222,34.89284763,34.34734988,35.70755205,35.24665016,34.30202828,34.82724986,34.47900745
10152.00000000,34.82149819,35.97741089,36.11268429,37.19657395,35.02635334,34.53250442,34.92884528,34.36159413,35.77847114,35.30396306,34.31475607,34.86479697,34.50329223
10182.00000000,34.79095177,35.95501171,36.09358761,37.21046976,34.98063089,34.48946056,34.88267481,34.32403365,35.75318676,35.26832298,34.27641780,34.81783955,34.45329465
10213.00000000,34.70842678,35.83419291,35.97202398,37.10479574,34.84951799,34.38772314,34.74833503,34.23185373,35.61686472,35.12748353,34.18416008,34.68077603,34.32739432
10244.00000000,34.59409706,35.64036588,35.77297307,36.89706590,34.66154964,34.25232012,34.55383978,34.10841481,35.39312682,34.90744985,34.06206735,34.48234990,34.15407248
10274.00000000,34.47807078,35.42368417,35.54781730,36.63979802,34.46498038,34.11814536,34.34802158,33.98471935,35.13624995,34.66200787,33.94060607,34.27110210,33.97629640
10305.00000000,34.38272623,35.22342398,35.33700836,36.37581368,34.29642209,34.01108179,34.16804538,33.88409260,34.88881163,34.43280307,33.84264459,34.08404001,33.82640295
10335.00000000,34.33603203,35.09768818,35.20149551,36.17322458,34.20078163,33.96049123,34.02041060,33.82754796,33.78848603,34.08491625,33.78984410,33.94879450,33.73518804
10366.00000000,34.34625253,35.06870265,35.16505264,36.06159381,34.19519738,33.97509180,33.96278879,33.82733861,33.51022779,33.90572029,33.79233439,33.89405702,33.71836061
10397.00000000,34.40616300,35.13659634,35.22954732,36.06025683,34.27555479,34.04535568,34.00415806,33.87788318,33.43879377,33.87796214,33.84297837,33.92969882,33.77468657
10425.00000000,34.49337303,35.26835545,35.36195277,36.14879445,34.40662132,34.14678174,34.11148233,33.96246021,33.49377630,33.95373022,33.92661186,34.02880124,33.87735532
10456.00000000,34.59691384,35.44780894,35.54593888,36.30995715,34.57233415,34.26438459,34.26148430,34.06309368,33.62958366,34.09671865,34.02433678,34.17080820,34.00861779
10486.00000000,34.67628405,35.60295827,35.70734542,36.47091007,34.70541833,34.35159570,34.38636982,34.13899045,33.76667922,34.23092741,34.09663592,34.29012142,34.11110370
10517.00000000,34.71269157,35.69575703,35.80624732,36.58314966,34.77266592,34.38720809,34.44921396,34.17005944,33.85087732,34.30792598,34.12416935,34.34906779,34.15496616
10547.00000000,34.69267900,35.69159472,35.80552578,36.59641155,34.74822004,34.35768281,34.42141436,34.14351543,33.83478713,34.28679686,34.09535503,34.31798335,34.11902681
10578.00000000,34.61835764,35.58568724,35.69912883,36.49296446,34.63294721,34.26604785,34.30118202,34.06007155,33.70357958,34.15770803,34.01079460,34.19401092,34.00425643
10609.00000000,34.51057818,35.40409279,35.51260512,36.28965423,34.45686967,34.13815714,34.11727584,33.94314084,33.48041177,33.94623364,33.89433698,34.00498014,33.83877768
10639.00000000,34.39998768,35.19778986,35.29813836,36.03825483,34.26959475,34.00986840,33.91967839,33.82451327,33.22120711,33.70695133,33.77715703,33.80101227,33.66716219
10670.00000000,34.30956318,35.00724659,35.09739718,35.78148690,34.10911320,33.90786965,33.74674335,33.72813924,32.97064201,33.48285447,33.68267521,33.62054488,33.52283493
10700.00000000,34.26718597,34.89056422,34.97140449,35.59342940,34.02488592,33.86375393,33.65056165,33.68352907,32.80104131,33.33947974,33.63979124,33.51706823,33.44904112
10731.00000000,34.30596521,34.91092935,34.98602279,35.55180709,34.07211419,33.91461227,33.68807981,33.72398481,32.78744744,33.34556256,33.68111128,33.54898968,33.49491598
