time,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-3-8,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-26-6,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10
3652.500000000,34.62650382,35.59470687,35.71548787,36.71894541,34.79735823,34.37874417,34.71336818,34.23955932,35.45283380,35.06627826,34.16617293,34.63615755,34.34188897
3683.500000000,34.63356031,35.60865265,35.72875872,36.73207987,34.76849387,34.35950788,34.67902289,34.20582511,35.43612672,35.00839555,34.15612740,34.60440405,34.28508031
3712.500000000,34.68438223,35.69618265,35.81815434,36.83330419,34.82123045,34.39971778,34.72623631,34.24051092,35.50067833,35.05509609,34.19509818,34.65412127,34.32837973
3743.500000000,34.75615702,35.82961698,35.95644445,36.99741756,34.92098285,34.46978825,34.82279787,34.30363392,35.62453142,35.16628575,34.25847898,34.75415717,34.41608752
3773.500000000,34.81333401,35.94879698,36.08170884,37.15708293,35.00838300,34.52604457,34.90952708,34.35476440,35.74461890,35.27416513,34.30860731,34.84402988,34.49048643
3804.500000000,34.83323962,36.01242934,36.15100549,37.26451164,35.04235437,34.54011557,34.94388416,34.36828811,35.81176517,35.32882212,34.32075702,34.88014271,34.51381573
3834.500000000,34.80143088,35.98604116,36.12753717,37.27072328,34.99491657,34.49631313,34.89611235,34.33007043,35.78297228,35.29057313,34.28186532,34.83168313,34.46281557
3865.500000000,34.71769605,35.86173806,36.00215390,37.15812177,34.86226213,34.39382619,34.76046112,34.23727346,35.64360582,35.14757014,34.18907913,34.69331710,34.33601108
3896.500000000,34.60229416,35.66480995,35.79971081,36.94433953,34.67291569,34.25776334,34.56475181,34.11328639,35.41711539,34.92553667,34.06651105,34.49367616,34.16186497
3926.500000000,34.48534413,35.44546138,35.57164162,36.68193026,34.47515507,34.12302298,34.35786464,33.98911775,35.15784000,34.67833178,33.94463969,34.28137634,33.98337661
3957.500000000,34.38915820,35.24276305,35.35817138,36.41329011,34.30549856,34.01544002,34.17688988,33.88805350,34.90818192,34.44748274,33.84629925,34.09332344,33.83281090
3987.500000000,34.34174718,35.11492829,35.22036781,36.20670878,34.20890326,33.96439746,34.02837051,33.83112071,33.80638133,34.09818119,33.79315898,33.95718639,33.74098934
4018.500000000,34.35132551,35.08402778,35.18183272,36.09142471,34.20243858,33.97857930,33.96993399,33.83054548,33.52638739,33.91767558,33.79532080,33.90161434,33.72358757
4049.500000000,34.41128049,35.15106295,35.24529294,36.08715784,34.28250848,34.04994278,34.01148580,33.88332512,33.45412166,33.88953724,33.84867204,33.93694455,33.78021444
4077.500000000,34.49780089,35.28127540,35.37604679,36.17314614,34.41306818,34.15037147,34.11819523,33.96600415,33.50765510,33.96427939,33.93014145,34.03564232,33.88249198
4108.500000000,34.60081157,35.45924162,35.55842583,36.33173758,34.57807516,34.26737999,34.26740979,34.06596844,33.64207276,34.10619215,34.02712318,34.17698305,34.01310714
4138.500000000,34.67974357,35.61312470,35.71845626,36.49043555,34.71050623,34.35417613,34.39160228,34.14144031,33.77792485,34.23942697,34.09897199,34.29564543,34.11503851
4169.500000000,34.71575457,35.70477263,35.81610388,36.60058046,34.77715135,34.38944830,34.45382333,34.17217476,33.86094711,34.31550949,34.12616819,34.35397650,34.15842020
4199.500000000,34.69540040,35.69961161,35.81429450,36.61201874,34.75219094,34.35965307,34.42548887,34.14537134,33.84381086,34.29356470,34.09710343,34.32234722,34.12207903
4230.500000000,34.62076451,35.59281227,35.70692312,36.50689295,34.63645767,34.26777675,34.30479275,34.06169830,33.71165060,34.16374838,34.01232468,34.19789474,34.00695929
4261.500000000,34.51270686,35.41042877,35.51953846,36.30209338,34.45997932,34.13968164,34.12048192,33.94457804,33.48763296,33.95162694,33.89569046,34.00843916,33.84117754
4291.500000000,34.40187767,35.20344833,35.30433288,36.04941200,34.27236461,34.01122277,33.92254120,33.82579528,33.22769369,33.71178698,33.77836845,33.80410648,33.66930565
4322.500000000,34.31123670,35.01228574,35.10291640,35.79146946,34.11157544,33.90907245,33.74929594,33.72928415,32.97645229,33.48717739,33.68376283,33.62330670,33.52474796
4352.500000000,34.26867585,34.89507036,34.97634228,35.60239733,34.02708499,33.86482819,33.65284862,33.68455703,32.80626516,33.34336207,33.64077308,33.51954482,33.45075770
4383.500000000,34.30728991,34.91495053,34.99043158,35.55984105,34.07406810,33.91556793,33.69012109,33.72490699,32.79212958,33.34904141,33.68199630,33.55120380,33.49644967
