time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-1271.609372795216,-934.7448857904111,2675.694849283565
3683.500000000,-1188.261301060306,-903.5831054311386,2561.700004102368
3712.500000000,-1278.176409412536,-975.0629350200866,2720.180987579210
3743.500000000,-1442.004051016480,-1100.483634066123,3005.022456135306
3773.500000000,-1576.905330781935,-1201.101467785106,3237.266916388126
3804.500000000,-1618.962622866571,-1225.229638961571,3303.035358949642
3834.500000000,-1620.040993259074,-1226.687019744924,3305.493504804515
3865.500000000,-1311.921746361220,-962.5430474914473,2742.977924243486
3896.500000000,-1013.654634612937,-720.4638998611319,2210.746269294701
3926.500000000,-714.1293711637154,-482.6272545244627,1680.983984991587
3957.500000000,-470.5878334160944,-294.0310782637195,1254.463688711844
3987.500000000,-348.1772495000142,-192.8673089486672,1033.234260709662
4018.500000000,-369.4084006624142,-198.4542179595721,1058.892682238475
4049.500000000,-516.7420195465650,-299.7491390261739,1303.458771323685
4077.500000000,-734.9309322439204,-459.6813306138197,1675.877297779680
4108.500000000,-994.1384673552191,-650.1545441978091,2119.227982979855
4138.500000000,-1192.723088892545,-793.8198301973467,2456.976814422702
4169.500000000,-1280.349228060926,-848.2665176859792,2597.767692952147
4199.500000000,-1281.987953787164,-851.2514500011329,2602.213290050926
4230.500000000,-1028.957401651629,-624.2866274021387,2130.822167456810
4261.500000000,-749.9712588370046,-396.7025613162347,1631.889705349009
4291.500000000,-466.0770963959750,-171.1338111660945,1129.592632892533
4322.500000000,-236.3273319324178,6.301163147366395,727.5886168978554
4352.500000000,-129.8288067389235,86.91872918466272,542.4408460812591
4383.500000000,-127.1925056531007,92.91136813209991,534.1926372366634
